# Pi-hole allowlist
# format: status|domain|comment

enabled|0.client-channel.google.com|In order for users on your network to access Google Drive and Google Docs editors this domain must be whitelisted - https://support.google.com/a/answer/2589954?hl=en  - qjz9zk
enabled|1drv.com|It is actually a legitimate Microsoft owned domain and used as a short link for OneDrive documents. - qjz9zk
enabled|2.android.pool.ntp.org|This domain is a part of The pool.ntp.org project which is a big virtual cluster of timeservers providing reliable time. This domain is used in Android devices - qjz9zk
enabled|5231.xg4ken.com|
enabled|7eer.net|
enabled|ad.atdmt.com|
enabled|ad.doubleclick.net|
enabled|affiliatefuture.com|
enabled|akamaihd.net|This domain is owned by Akamai Technologies which is a is a global content delivery network (CDN). - qjz9zk
enabled|akamaitechnologies.com|This domain is owned by Akamai Technologies which is a is a global content delivery network (CDN). - qjz9zk
enabled|akamaized.net|This domain is owned by Akamai Technologies which is a is a global content delivery network (CDN). - qjz9zk
enabled|amazonaws.com|Amazon Web Services (AWS) is a subsidiary of Amazon providing on-demand cloud computing platforms and APIs. This domain is used to serve files and other static resources which are hosted on Amazon AWS - qjz9zk
enabled|android.clients.google.com|Google Play Store and few devices (especially Android One devices) depends on this domain for system updates. - qjz9zk
enabled|anrdoezrs.net|
enabled|api-crm.miele.com|Added from Query Log
enabled|api.ing.carrier.com|
enabled|api.ipify.org|It is used to get your public IP address programmatically. ipify is completely opensource. - qjz9zk
enabled|api.rlje.net|Used to deliver contents on video straming apps on hulu etc. - qjz9zk
enabled|api.secondstreetapp.com|Added from Query Log
enabled|api2.amplitude.com|Added from Query Log
enabled|api2.branch.io|
enabled|apis.google.com|Added from Query Log
enabled|apmebf.com|
enabled|app-api.ted.com|Used by ted.com streams. - qjz9zk
enabled|app-measurement.com|
enabled|app.plex.tv|
enabled|appleid.apple.com|Used to sign in t your Apple account. - qjz9zk
enabled|apps.skype.com|Used to make group calls, group chats etc. on Skype. - qjz9zk
enabled|appsbackup-pa.clients6.google.com|Used to backup device settings and app data. - qjz9zk
enabled|appsbackup-pa.googleapis.com|Used to backup device settings and app data. - qjz9zk
enabled|appspot-preview.l.google.com|Used to deliver system updates to Moto phones. - qjz9zk
enabled|apt.sonarr.tv|Sonarr is a PVR for Usenet and BitTorrent users. It can monitor multiple RSS feeds for new episodes of your favorite shows and will grab, sort and rename them. It can also be configured to automatically upgrade the quality of files already downloaded when a better quality format becomes available. - qjz9zk
enabled|aspnetcdn.com|Owned by Microsoft. Used to deliver files such as Windows updates and other services. - qjz9zk
enabled|atom.peacocktv.com|
enabled|attestation.xboxlive.com|Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk
enabled|avantlink.com|
enabled|ax.phobos.apple.com.edgesuite.net|Used by Apple Photos. - qjz9zk
enabled|bakery.pplus.paramount.tech|
enabled|bfast.com|
enabled|bff-ext.clients.peacocktv.com|
enabled|brightcove.net|Video delivery systems, popular in entertainment and news sites. - qjz9zk
enabled|c.s-microsoft.com|Used to deliver fonts. - qjz9zk
enabled|cbsi.live.ott.irdeto.com|
enabled|cbsinteractive.hb.omtrdc.net|
enabled|cc-dt.com|
enabled|cdn.cloudflare.net|Used to deliver static files over CloudFlare CDN. - qjz9zk
enabled|cdn.embedly.com|Embedly is used to embed videos, images and rich media from 300+ providers with just the URL. - qjz9zk
enabled|cdn.optimizely.com|optimizely.com is a progressive delivery and experimentation software for other companies. Often used as a video delivery system. - qjz9zk
enabled|cdn.vidible.tv|Video delivery systems, popular in entertainment and news sites. - qjz9zk
enabled|cdn2.optimizely.com|optimizely.com is a progressive delivery and experimentation software for other companies. Often used as a video delivery system. - qjz9zk
enabled|cdn3.optimizely.com|optimizely.com is a progressive delivery and experimentation software for other companies. Often used as a video delivery system. - qjz9zk
enabled|cdnjs.cloudflare.com|Used to deliver static files over CloudFlare CDN. - qjz9zk
enabled|cert.mgt.xboxlive.com|Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk
enabled|chtbl.com|
enabled|cj.com|
enabled|cj.dotomi.com|
enabled|click.linksynergy.com|
enabled|clickserve.cc-dt.com|
enabled|clickserve.dartsearch.net|
enabled|clientconfig.passport.net|Owned by Microsoft. Used in Windows Store. - qjz9zk
enabled|clients1.google.com|Used in Google Maps and other Google services. - qjz9zk
enabled|clients2.google.com|Used in Google Maps and other Google services. - qjz9zk
enabled|clients3.google.com|Used in Google Maps and other Google services. - qjz9zk
enabled|clients4.google.com|Used in Google Maps and other Google services. - qjz9zk
enabled|clients5.google.com|Used in Google Maps and other Google services. - qjz9zk
enabled|clients6.google.com|Used in Google Maps and other Google services. - qjz9zk
enabled|clk.tradedoubler.com|
enabled|commission-junction.com|
